Titulo,Conteudo,Link
ROLL THE DYCHE,Dyche named new Everton boss after Lampard sacking & Bielsa rejecting role,https://www.thesun.co.uk/sport/21182800/sean-dyche-named-new-everton-manager/
DONE & GUSTED,Chelsea 'AGREE Gusto transfer and beat Man Utd in race for Lyon full-back',https://www.thesun.co.uk/sport/21190653/chelsea-agree-malo-gusto-lyon-transfer-man-utd/
GAB THAT,Gabriel Martinelli doubles Arsenal wage to £180k a week in new long-term contract,https://www.thesun.co.uk/sport/21190262/arsenal-agree-gabriel-martinelli-bumper-contract/
TOFF LUCK,Newcastle 'AGREE' £45m Anthony Gordon transfer from Everton,https://www.thesun.co.uk/sport/21187865/newcastle-close-anthony-gordon-transfer-everton/
CUP CLASSIC,Man City vs Arsenal: Get City at 25/1 or Gunners at 70/1 to win - William Hill,https://www.thesun.co.uk/sport/21174607/man-city-arsenal-free-bets-fa-cup-william-hill/
GOT A HOL IN THEM,Hollie Shearer shows off bod in biker jacket & revealing leather trousers,https://www.thesun.co.uk/sport/21190441/alan-shearer-daughter-hollie-incredible-figure/
SAV SIGNS,Man Utd starlet Charlie Savage - son of Robbie - joins Forest Green on loan,https://www.thesun.co.uk/sport/21190440/man-utd-charlie-savage-robbie-forest-green-loan-transfer/
ROCK N'GOL,Chelsea boost with Kante ‘set to return from injury before Dortmund clash',https://www.thesun.co.uk/sport/21189515/chelsea-ngolo-kante-return-injury-champions-league-borussia-dortmund/
FLYIN' BRYAN,Sevilla's Jorge Sampaoli publicly reveals plans to sign Spurs star Bryan Gil,https://www.thesun.co.uk/sport/21190106/sevilla-jorge-sampaoli-tottenham-bryan-gil-transfer/
PROMOTION,The best casino bonuses for players in the UK: Top 10 sites for 2023,https://www.thesun.co.uk/betting/20754895/casino-bonus/
RON TO BLAME,Al-Nassr boss takes swipe at Ronaldo and claims miss cost them in cup tie,https://www.thesun.co.uk/sport/21187605/cristiano-ronaldo-al-nassr-saudi-arabia/
